Name  BindingEnergy(kcal/mol)
Au_22.61  12.21
Au_22.62  2.27
Au_22.63  0.02
Au_22.65  4.53
Au_22.68  11.60
Au_22.69  15.87
Au_2.27  -2.65
Au_22.70  8.77
Au_22.71  16.98
Au_2.29  -3.29935
Au_2.32  -0.49
Au_23.25  17.03
Au_2.33  1.98751
Au_2.34  -2.80205
Au_23.41  8.35
Au_23.42  -1.11612
Au_2.35  3.24
Au_23.50  10.20
Au_23.51  10.00
Au_23.54  25.28
Au_23.55  16.15
Au_23.56  20.74
Au_2.36  -5.53155
Au_23.62  10.13
Au_23.65  -2.05
Au_23.66  10.29
Au_23.68  2.41
Au_2.37  -1.24868
Au_23.70  17.72
Au_23.71  24.19
Au_2.38  -1.74
Au_2.39  -2.71836
Au_2.4  13.53
Au_2.40  -5.93324
Au_2.41  -1.83872
Au_2.42  -4.85693
Au_24.24  1.11
Au_24.25  6.00
Au_24.26  5.04
Au_24.27  5.08
Au_24.29  2.68786
Au_24.32  3.32
Au_24.33  1.40
Au_24.34  0.37
Au_24.35  3.65
Au_24.39  -0.413083
Au_2.44  -0.211884
Au_24.42  -2.87
Au_24.43  9.94
Au_24.44  3.83
Au_24.46  1.69
Au_24.48  2.71
Au_24.49  -2.19
Au_2.45  -0.591497
Au_24.51  9.35
Au_24.52  2.52
Au_24.59  2.59
Au_2.46  -2.08
Au_24.62  8.93
Au_24.63  7.29
Au_24.67  6.08
Au_2.47  -2.34
Au_24.71  19.25
Au_2.48  -3.84345
Au_2.49  -2.41
Au_2.50  6.64
Au_2.51  1.80
Au_2.52  1.38
Au_25.26  2.88
Au_25.29  -2.42
Au_2.53  1.33
Au_25.32  -0.22
Au_25.33  2.58
Au_25.34  1.30
Au_25.35  4.55
Au_25.36  -6.27
Au_25.37  0.635843
Au_25.38  0.74
Au_25.39  -1.27443
Au_2.54  1.96
Au_25.40  -3.63
Au_25.41  0.64
Au_25.42  -3.59
Au_25.43  1.92
Au_25.44  1.29
Au_25.46  -2.91
Au_25.47  4.25
Au_25.48  -1.84
Au_25.49  0.49
Au_2.55  1.48
Au_25.53  3.79
Au_2.56  1.32
Au_25.62  3.59
Au_25.67  2.21
Au_25.69  2.67
Au_2.57  1.53
Au_25.70  2.07
Au_2.58  1.40
Au_2.59  1.39
Au_2.60  1.71
Au_2.61  1.54
Au_2.62  1.30
Au_26.26  0.28
Au_26.27  0.87
Au_26.29  -3.20606
Au_2.63  1.33
Au_26.32  -1.05
Au_26.33  -0.15
Au_26.34  -1.54
Au_26.35  4.56
Au_26.36  -3.21
Au_26.38  -3.01
Au_26.39  -2.07329
Au_2.64  0.49
Au_26.40  -2.12697
Au_26.42  -3.88406
Au_26.43  -0.39
Au_26.44  -1.05
Au_26.45  -1.66
Au_26.46  0.82
Au_26.47  -0.34166
Au_26.48  -3.73
Au_26.49  1.01
Au_2.65  0.52
Au_26.52  1.65
Au_26.57  1.25
Au_26.60  2.50662
Au_26.63  2.54
Au_26.64  0.56
Au_26.65  1.42598
Au_26.70  1.37
Au_26.71  7.05
Au_2.68  16.26
Au_2.69  1.36
Au_2.70  -2.17
Au_2.71  8.21
Au_27.27  -0.195877
Au_27.29  -3.43391
Au_27.32  -0.36
Au_27.33  -0.17
Au_27.34  -2.31
Au_27.35  3.43
Au_27.36  -0.13
Au_27.37  -0.0157003
Au_27.38  -1.33036
Au_27.39  -2.76
Au_27.40  -4.99
Au_27.41  -1.08
Au_27.42  -2.77
Au_27.43  3.40
Au_27.44  2.09
Au_27.45  -0.10
Au_27.46  -1.44
Au_27.47  -3.80
Au_27.48  -2.35
Au_27.49  -3.17
Au_27.55  2.20678
Au_27.56  2.49867
Au_27.57  3.03578
Au_27.64  2.94549
Au_27.67  0.26
Au_27.68  0.340242
Au_27.70  0.125182
Au_28.29  2.77502
Au_28.50  8.43
Au_28.51  9.41
Au_28.52  8.19
Au_28.53  8.34
Au_28.54  9.20
Au_28.55  8.44
Au_28.56  8.32
Au_28.57  8.25
Au_28.58  8.48
Au_28.59  8.48
Au_28.60  2.78
Au_28.61  8.27
Au_28.62  8.62
Au_28.64  7.11
Au_28.65  7.18
Au_28.66  10.29
Au_28.69  8.39
Au_28.70  8.12
Au_2.9  -0.46
Au_29.29  -1.43313
Au_29.33  -1.39932
Au_29.34  -1.19655
Au_29.36  3.55982
Au_29.38  -0.162694
Au_29.39  -2.52163
Au_29.40  -5.0267
Au_29.41  -4.63959
Au_29.42  -6.89519
Au_29.44  -0.891779
Au_29.45  -0.728708
Au_29.46  0.638491
Au_29.48  -4.19983
Au_29.49  -4.36841
Au_29.50  0.07
Au_29.51  0.68
Au_29.52  -0.0436056
Au_29.53  0.0260667
Au_29.54  2.04
Au_29.55  0.06
Au_29.56  -0.17
Au_29.57  0.160046
Au_29.58  -0.26
Au_29.59  0.10
Au_29.60  0.42
Au_29.61  2.80386
Au_29.62  -0.0957705
Au_29.64  -0.700752
Au_29.65  -0.790242
Au_29.66  1.68
Au_29.68  0.58
Au_29.69  -0.52
Au_29.70  -1.83
Au_30.37  14.48
Au_30.50  7.82
Au_30.51  4.51
Au_30.53  13.55
Au_30.54  14.27
Au_30.55  17.83
Au_30.56  17.80
Au_30.57  12.65
Au_30.59  13.14
Au_30.60  8.90
Au_30.66  13.18
Au_30.69  4.97
Au_3.12  -1.83
Au_3.13  0.81
Au_3.14  1.30
Au_31.40  -4.88175
Au_31.42  0.684186
Au_3.15  7.01
Au_31.52  1.22418
Au_31.55  5.15
Au_31.56  0.48
Au_31.57  5.12678
Au_31.59  5.17
Au_31.64  4.21
Au_31.66  1.81
Au_31.70  4.54789
Au_3.19  -2.24353
Au_3.20  -1.62759
Au_32.32  0.12
Au_32.33  0.502258
Au_32.34  -2.59
Au_32.35  2.61
Au_32.36  -2.56791
Au_32.38  -0.61
Au_32.39  -5.74846
Au_32.40  -5.20956
Au_32.41  -1.48064
Au_32.42  -3.97524
Au_32.45  -0.21
Au_32.46  1.18
Au_32.47  0.77
Au_32.48  -2.82539
Au_32.49  -1.41
Au_32.50  1.09
Au_32.51  2.32
Au_32.52  1.53
Au_32.53  1.97
Au_32.54  2.76
Au_32.55  1.80
Au_32.56  1.57
Au_32.57  1.56
Au_32.58  1.31
Au_32.59  1.87
Au_3.26  -2.32
Au_32.60  8.86
Au_32.61  1.55
Au_32.62  0.92
Au_32.63  0.91
Au_32.64  0.10
Au_32.65  -0.03
Au_32.66  3.98
Au_32.68  1.89
Au_32.69  1.77
Au_3.27  -1.52
Au_32.70  0.10
Au_32.71  11.85
Au_3.31  -3.21729
Au_3.32  1.01803
Au_33.33  -1.97
Au_33.34  -2.98
Au_33.35  4.32
Au_33.36  -3.31075
Au_33.38  -1.99117
Au_33.39  -3.37
Au_3.34  -0.85303
Au_33.40  -1.83809
Au_33.42  -4.89584
Au_33.44  0.237954
Au_33.45  -0.09
Au_33.46  -2.50
Au_33.47  -0.22
Au_33.48  -3.04
Au_33.49  -2.27
Au_33.50  1.43
Au_33.51  2.77
Au_33.52  0.87
Au_33.53  0.57
Au_33.54  2.19
Au_33.55  2.26
Au_33.56  0.56
Au_33.57  1.09
Au_33.58  1.89
Au_33.59  0.42
Au_33.60  -5.09
Au_33.61  0.78
Au_33.62  1.28
Au_33.63  1.10
Au_33.64  -0.76
Au_33.65  -0.89
Au_33.66  3.61
Au_33.68  0.97
Au_33.69  1.21
Au_33.70  -0.37
Au_33.71  11.31
Au_3.38  -2.49626
Au_3.39  -0.197804
Au_3.40  -3.78618
Au_3.43  1.79369
Au_34.34  2.21813
Au_34.35  1.10
Au_34.36  -2.53304
Au_34.37  -2.50
Au_34.38  1.25934
Au_34.39  -2.0131
Au_3.44  -1.01357
Au_34.40  -6.22453
Au_34.41  -2.03841
Au_34.42  -5.31146
Au_34.43  -1.72
Au_34.44  2.43289
Au_34.45  3.18
Au_34.46  -5.18
Au_34.47  -3.28
Au_34.48  0.05
Au_34.49  -3.72
Au_34.50  -1.39
Au_34.51  4.63
Au_34.52  -1.36
Au_34.53  -1.54
Au_34.54  2.18
Au_34.55  -1.29
Au_34.56  3.67
Au_34.57  0.801045
Au_34.58  -1.49
Au_34.59  -1.68
Au_34.60  2.49
Au_34.61  -0.28
Au_34.62  -1.94
Au_34.63  0.34
Au_34.64  -2.72
Au_34.65  3.09018
Au_34.68  -1.59
Au_34.69  5.04
Au_3.47  -4.39387
Au_34.70  -2.57
Au_34.71  9.47
Au_3.48  -1.00353
Au_3.49  -4.23775
Au_3.50  2.83
Au_3.51  3.42
Au_3.52  3.56
Au_3.53  -0.08
Au_35.35  15.17
Au_35.37  3.67
Au_3.54  4.06
Au_35.41  6.43
Au_35.42  -1.19261
Au_35.43  3.71
Au_35.44  2.61
Au_35.45  1.22
Au_35.47  3.74
Au_35.48  2.63956
Au_35.49  1.08
Au_3.55  -0.79
Au_35.50  3.92
Au_35.51  5.31
Au_35.52  4.11
Au_35.53  4.32
Au_35.55  4.51
Au_35.56  3.92
Au_35.58  3.91
Au_35.59  3.79
Au_3.56  -1.06
Au_35.61  3.16
Au_35.62  3.76
Au_35.63  3.31
Au_35.67  5.51
Au_35.68  3.83
Au_35.69  4.74
Au_3.57  2.66
Au_35.70  4.61
Au_35.71  15.19
Au_3.58  -1.06
Au_3.59  -0.02
Au_3.60  3.63
Au_3.61  -1.39
Au_3.62  0.11
Au_3.63  -0.04
Au_36.36  -4.23282
Au_36.38  -3.43605
Au_36.39  1.33419
Au_3.64  2.11
Au_36.40  -11.3236
Au_36.41  -3.01735
Au_36.42  -5.77643
Au_36.43  -1.24969
Au_36.44  -2.53314
Au_36.46  -3.25
Au_36.47  -7.75
Au_36.48  -4.73642
Au_36.49  -4.10
Au_3.65  -2.17
Au_36.50  -3.84
Au_36.51  -3.33
Au_36.52  -4.16
Au_36.53  -4.26
Au_36.54  4.05
Au_36.55  -0.47
Au_36.56  -4.25
Au_36.57  -0.97
Au_36.58  0.02
Au_36.59  -1.06
Au_3.66  4.15
Au_36.60  -3.83
Au_36.61  -0.76
Au_36.62  3.52
Au_36.63  -4.30906
Au_36.64  -6.09
Au_36.65  -6.24
Au_36.66  1.45
Au_36.68  -0.51
Au_36.69  0.31
Au_36.70  -1.19
Au_36.71  6.79
Au_3.68  2.53
Au_3.69  4.79
Au_3.70  -2.51
Au_37.39  -1.5876
Au_37.44  -0.822608
Au_37.45  -0.21
Au_37.46  -1.97
Au_37.49  -2.43
Au_37.56  2.72
Au_37.70  1.65
Au_38.38  -0.92
Au_38.39  -2.16469
Au_38.40  -5.67058
Au_38.41  -3.15409
Au_38.42  -5.01402
Au_38.43  -0.887794
Au_38.44  -0.752915
Au_38.45  -1.48415
Au_38.47  0.216541
Au_38.48  -3.94293
Au_38.49  -1.24199
Au_38.50  0.42
Au_38.51  1.82
Au_38.52  0.52
Au_38.53  0.62
Au_38.54  1.66
Au_38.55  0.56
Au_38.56  0.40
Au_38.57  1.09
Au_38.58  0.16
Au_38.59  0.28
Au_38.60  0.87
Au_38.61  -0.33
Au_38.62  0.26
Au_38.63  -0.01
Au_38.64  -0.48
Au_38.65  -0.63
Au_38.66  2.84
Au_38.68  0.62
Au_38.69  0.31
Au_38.70  -0.93
Au_38.71  10.05
Au_3.9  1.33
Au_39.39  -4.72442
Au_39.40  -5.46815
Au_39.41  -3.23
Au_39.42  -5.2299
Au_39.43  0.220149
Au_39.44  -0.809798
Au_39.45  -4.67704
Au_39.46  0.39
Au_39.47  -3.98662
Au_39.48  -5.17367
Au_39.49  -3.89075
Au_39.50  -0.80
Au_39.51  0.52
Au_39.52  0.39
Au_39.53  -0.19
Au_39.54  1.08
Au_39.55  0.05
Au_39.56  2.40
Au_39.57  0.57
Au_39.58  0.38
Au_39.59  -1.13
Au_39.60  0.07
Au_39.61  0.71
Au_39.62  -0.35
Au_39.64  -0.87
Au_39.65  -2.02
Au_39.66  2.92
Au_39.68  -0.35
Au_39.69  0.51
Au_39.70  -0.71
Au_40.40  -7.19878
Au_40.41  -3.07728
Au_40.42  -6.81917
Au_40.43  -3.88492
Au_40.44  -2.87003
Au_40.48  -1.1191
Au_40.49  -5.43132
Au_40.50  1.69
Au_40.51  2.75
Au_40.52  -4.15
Au_40.53  -4.36
Au_40.54  0.06
Au_40.55  -4.17
Au_40.56  -0.672274
Au_40.57  2.46
Au_40.58  -2.01
Au_40.59  -4.34
Au_40.60  -3.24
Au_40.61  1.02
Au_40.62  1.48
Au_40.63  -4.7123
Au_40.64  -5.3394
Au_40.65  1.44
Au_40.66  0.77
Au_40.68  -4.15
Au_40.69  -1.27399
Au_4.10  15.99
Au_4.13  18.55
Au_4.14  16.94
Au_41.41  -1.28
Au_41.42  -6.03651
Au_41.43  -0.597697
Au_41.44  -1.47656
Au_41.47  -1.38
Au_41.48  -4.59681
Au_41.49  -3.22
Au_4.15  19.02
Au_41.50  2.38828
Au_41.51  -0.160009
Au_41.52  2.09981
Au_41.54  2.13989
Au_41.56  2.3298
Au_41.57  1.30044
Au_41.60  0.934136
Au_41.64  0.366735
Au_41.65  0.0877133
Au_41.66  2.27693
Au_4.19  12.94
Au_4.21  20.50
Au_4.24  20.75
Au_42.42  -6.02713
Au_42.44  -3.91198
Au_42.45  -2.85484
Au_42.46  -6.87
Au_42.47  -7.37
Au_42.48  -7.43808
Au_42.49  -6.08417
Au_4.25  19.67
Au_42.50  -0.40
Au_42.51  0.11
Au_42.52  -0.21
Au_42.53  -0.35
Au_42.54  0.62
Au_42.55  -0.21
Au_42.56  -0.30
Au_42.57  -1.00
Au_42.58  -0.55
Au_42.59  -0.61
Au_4.26  17.44
Au_42.60  -0.57
Au_42.61  -1.08
Au_42.62  -0.82
Au_42.63  -1.21
Au_42.64  -2.31
Au_42.65  -2.46
Au_42.66  1.68
Au_42.68  0.04
Au_42.69  0.14
Au_4.27  16.91
Au_42.70  -2.10
Au_42.71  8.28
Au_43.43  2.634
Au_43.45  -0.07
Au_43.46  3.32389
Au_43.47  0.931011
Au_43.49  -0.19
Au_4.35  18.88
Au_43.50  3.00
Au_43.51  3.66
Au_43.52  2.93
Au_43.53  2.49
Au_43.54  4.23
Au_43.55  3.20
Au_43.56  3.00
Au_43.57  2.98
Au_43.58  2.92
Au_43.59  2.85
Au_43.60  3.50
Au_43.61  2.11
Au_43.62  2.31
Au_43.63  2.27
Au_43.64  1.44
Au_43.65  1.31
Au_43.66  5.38
Au_43.68  3.13
Au_43.69  2.99
Au_43.70  2.55153
Au_43.71  13.09
Au_4.4  32.66
Au_44.44  0.289586
Au_44.45  -0.15
Au_44.46  -2.24507
Au_44.47  -0.715894
Au_44.49  -1.35
Au_44.50  1.68
Au_44.52  1.67
Au_44.53  1.67
Au_44.54  3.27
Au_44.55  1.90
Au_44.56  1.19
Au_44.57  1.71
Au_44.58  1.64
Au_44.59  1.49
Au_4.46  14.72
Au_44.60  -3.86
Au_44.61  1.68
Au_44.62  1.25
Au_44.63  1.07
Au_44.64  0.21
Au_44.65  0.01
Au_44.66  4.06
Au_44.68  1.93
Au_44.69  1.93
Au_44.70  1.23568
Au_44.71  12.35
Au_4.49  11.45
Au_4.50  18.08
Au_4.51  16.82
Au_4.52  18.72
Au_4.53  18.16
Au_4.54  18.03
Au_45.45  -2.62
Au_45.46  -2.30
Au_45.47  0.22
Au_45.48  -1.73
Au_45.49  -1.18
Au_4.55  18.37
Au_45.50  0.90
Au_45.51  0.97
Au_45.52  1.31
Au_45.53  0.47
Au_45.54  2.05
Au_45.55  0.68
Au_45.56  0.59
Au_45.57  0.17
Au_45.58  0.49
Au_45.59  0.44
Au_4.56  19.07
Au_45.60  -4.90
Au_45.61  1.70
Au_45.62  0.49
Au_45.63  -0.51
Au_45.64  -0.59
Au_45.65  1.94
Au_45.68  1.09
Au_45.69  1.35
Au_4.57  17.80
Au_45.70  0.66
Au_45.71  11.96
Au_4.58  18.15
Au_4.59  18.11
Au_4.60  17.57
Au_4.61  18.70
Au_4.62  18.63
Au_4.63  18.30
Au_4.64  16.22
Au_46.47  -3.52
Au_46.48  -5.74
Au_46.49  -5.38411
Au_4.65  16.21
Au_46.63  1.67
Au_46.64  1.75
Au_46.65  0.54
Au_46.67  3.84
Au_46.70  4.78527
Au_46.71  7.87
Au_4.68  16.02
Au_4.69  19.13
Au_4.70  18.66
Au_4.71  24.03
Au_47.47  -1.45912
Au_47.48  -4.91824
Au_47.51  2.35
Au_47.52  1.18
Au_47.53  3.00
Au_47.54  0.80
Au_47.55  -0.75
Au_47.56  1.83
Au_47.57  -1.69
Au_47.58  -2.47
Au_47.59  -3.75
Au_47.60  -1.36
Au_47.61  0.42
Au_47.62  -0.07
Au_47.63  0.03
Au_47.64  -0.12
Au_47.65  -1.08
Au_47.68  1.24
Au_47.69  2.35
Au_47.70  0.48
Au_47.71  7.63
Au_48.48  -5.62171
Au_48.49  -4.23411
Au_48.50  -1.53
Au_48.51  0.02
Au_48.52  -1.22
Au_48.53  -1.56
Au_48.54  0.40
Au_48.55  -1.12
Au_48.56  -1.30
Au_48.57  -1.28
Au_48.58  -1.38
Au_48.59  -1.66
Au_48.60  -0.46
Au_48.61  -1.40
Au_48.62  -1.86
Au_48.63  -2.02
Au_48.64  -2.17
Au_48.65  -2.27
Au_48.66  0.37
Au_48.68  -0.82
Au_48.69  -1.85
Au_48.70  -2.09
Au_48.71  8.24
Au_4.9  16.12
Au_49.49  -3.30
Au_49.50  0.11
Au_49.51  0.47
Au_49.52  0.34
Au_49.53  1.64
Au_49.56  1.63
Au_49.57  -0.25
Au_49.58  -0.14
Au_49.59  1.41
Au_49.61  1.74
Au_49.62  1.30
Au_49.63  -0.57
Au_49.64  -0.90
Au_49.65  -1.04
Au_49.67  1.41
Au_49.68  0.40
Au_49.69  2.38
Au_49.70  -1.03743
Au_49.71  10.18
Au_50.50  6.73
Au_50.58  7.23
Au_50.61  7.38
Au_50.68  7.65
Au_50.71  16.33
Au_5.12  2.19
Au_5.17  -1.72247
Au_5.19  -1.8994
Au_5.20  -5.11371
Au_5.25  2.02
Au_5.27  -0.18
Au_5.33  0.597464
Au_5.34  -0.549391
Au_5.39  0.0998995
Au_5.42  -3.30986
Au_5.45  0.678978
Au_5.46  -3.15138
Au_54.67  26.05
Au_5.49  1.17518
Au_5.50  2.45
Au_5.51  2.69
Au_5.52  2.37
Au_5.53  2.33
Au_5.54  2.29
Au_5.55  2.32
Au_5.56  2.32
Au_5.57  2.26
Au_5.58  2.70
Au_5.59  3.68
Au_5.60  -3.40
Au_5.61  1.64
Au_5.62  2.73
Au_5.64  4.20
Au_5.66  4.09
Au_5.68  1.44
Au_5.69  2.98
Au_5.70  1.58
Au_57.67  9.46
Au_57.70  4.12
Au_58.58  5.76
Au_58.61  7.04
Au_58.68  6.91
Au_58.71  16.36
Au_5.9  3.33
Au_60.67  10.50
Au_60.70  5.17
Au_6.14  2.11
Au_6.15  8.30
Au_61.61  5.12
Au_61.68  6.56
Au_61.71  15.77
Au_6.19  -3.89975
Au_6.20  -1.53033
Au_6.27  0.6065
Au_6.29  -1.47921
Au_6.31  -4.65239
Au_6.32  5.60
Au_6.33  2.74692
Au_6.34  1.35563
Au_63.70  4.66
Au_63.71  16.29
Au_6.38  0.14
Au_6.39  -1.76375
Au_6.40  -1.77643
Au_6.42  -2.866
Au_6.46  -2.44911
Au_64.67  7.66
Au_6.47  0.962336
Au_6.48  0.34449
Au_6.49  -0.894226
Au_6.50  1.53
Au_65.67  7.09
Au_6.58  1.44
Au_6.6  -0.08
Au_6.61  1.15
Au_6.66  4.40
Au_66.67  14.03
Au_6.69  0.89
Au_6.71  9.07
Au_67.68  30.39
Au_67.71  19.53
Au_68.68  9.24
Au_68.71  17.56
Au_6.9  0.68
Au_7.10  0.0660077
Au_7.13  3.53282
Au_7.15  3.64318
Au_71.71  20.13
Au_7.19  -1.95919
Au_7.27  2.32419
Au_7.29  -4.24067
Au_7.31  6.23199
Au_7.32  1.64591
Au_7.33  -0.372088
Au_7.34  2.59498
Au_7.36  5.23035
Au_7.38  1.27708
Au_7.40  -1.74716
Au_7.42  -6.06527
Au_7.44  3.36016
Au_7.46  -2.14139
Au_7.48  -1.10867
Au_7.50  1.7392
Au_7.57  3.16851
Au_7.9  5.24285
Au_8.10  14.33
Au_8.12  19.65
Au_8.21  26.48
Au_8.22  26.42
Au_8.24  20.31
Au_8.26  27.01
Au_8.27  7.31
Au_8.43  8.13
Au_8.50  16.92
Au_8.51  10.27
Au_8.55  19.43
Au_8.56  13.60
Au_8.58  15.84
Au_8.59  21.38
Au_8.60  12.36
Au_8.61  8.66
Au_8.63  12.21
Au_8.66  22.63
Au_8.69  10.58
Au_8.70  8.98
Au_8.71  10.15
Au_9.10  1.38
Au_9.14  4.04
Au_9.15  6.85
Au_9.17  -0.50
Au_9.19  -0.32
Au_9.20  0.66
Au_9.22  15.59
Au_9.23  25.06
Au_9.24  3.15
Au_9.28  5.91
Au_9.29  0.92045
Au_9.32  4.13
Au_9.33  0.30
Au_9.34  -0.66
Au_9.35  5.55
Au_9.36  -0.95
Au_9.37  1.93117
Au_9.38  -0.75
Au_9.39  -0.45
Au_9.40  -2.99189
Au_9.42  -4.15
Au_9.43  2.65
Au_9.44  0.92
Au_9.45  -2.50
Au_9.46  0.43
Au_9.47  1.57
Au_9.48  -1.53
Au_9.50  3.46
Au_9.58  2.60
Au_9.61  3.62
Au_9.67  3.19
Au_9.68  2.16
Au_9.9  2.43
Cu_0.0  17.32
Cu_0.10  -17.17
Cu_0.11  -25.15
Cu_0.12  -13.92
Cu_0.14  -13.59
Cu_0.19  -0.81
Cu_0.20  -13.50
Cu_0.21  -11.51
Cu_0.25  1.56
Cu_0.27  -13.67
Cu_0.28  15.34
Cu_0.3  -1.07
Cu_0.30  4.08
Cu_0.32  16.78
Cu_0.37  -18.75
Cu_0.43  13.27
Cu_0.46  -1.13
Cu_0.49  -8.89
Cu_0.51  12.33
Cu_0.52  9.99
Cu_0.53  9.85
Cu_0.55  14.56
Cu_0.56  16.13
Cu_0.57  5.80
Cu_0.59  16.41
Cu_0.60  3.92
Cu_0.62  10.13
Cu_0.63  10.49
Cu_0.64  13.34
Cu_0.65  11.60
Cu_0.68  17.82
Cu_0.69  6.25
Cu_0.70  4.41
Cu_0.71  21.80
Cu_0.9  -13.57
Cu_10.11  3.52
Cu_10.12  -2.74
Cu_10.13  1.58
Cu_10.14  -14.48
Cu_10.17  -19.0246
Cu_10.19  2.50
Cu_10.21  -16.16
Cu_10.24  -14.45
Cu_10.25  -8.01
Cu_10.26  -11.37
Cu_10.27  -20.69
Cu_10.29  -12.6138
Cu_10.31  -14.5084
Cu_10.32  -12.53
Cu_10.33  -13.984
Cu_10.34  -11.8998
Cu_10.37  -16.633
Cu_10.38  -21.9741
Cu_10.39  -17.4163
Cu_10.40  -9.02513
Cu_10.42  -12.0663
Cu_10.43  -7.46
Cu_10.44  -19.1553
Cu_10.48  -18.6988
Cu_10.49  -17.13
Cu_10.50  -8.28
Cu_10.51  -15.50
Cu_10.52  -14.00
Cu_10.53  -8.96
Cu_10.54  -15.36
Cu_10.55  -14.42
Cu_10.56  -13.94
Cu_10.57  -0.17
Cu_10.58  -8.45
Cu_10.59  -12.89
Cu_10.60  -20.69
Cu_10.61  -9.76
Cu_10.62  -8.90
Cu_10.63  -11.03
Cu_10.64  -6.74
Cu_10.65  -8.13
Cu_10.68  -13.58
Cu_10.69  -8.58
Cu_10.70  -12.61
Cu_11.11  4.18
Cu_11.13  0.90
Cu_11.14  -16.42
Cu_11.17  -15.05
Cu_11.19  -8.85
Cu_11.20  4.42
Cu_11.21  3.60
Cu_11.24  -6.49
Cu_11.25  -7.89
Cu_11.26  -1.46
Cu_11.27  -15.21
Cu_11.28  12.65
Cu_11.29  -14.814
Cu_11.31  -12.6488
Cu_11.32  -14.70
Cu_11.33  -12.12
Cu_11.35  -7.04
Cu_11.38  -12.5415
Cu_11.39  -18.8571
Cu_11.40  -14.2267
Cu_11.41  -12.8194
Cu_11.42  -19.07
Cu_11.43  -8.72
Cu_11.46  -12.72
Cu_11.48  -11.6296
Cu_11.49  -13.23
Cu_1.15  -1.16
Cu_11.50  -6.09
Cu_11.51  -4.19
Cu_11.52  -11.80
Cu_11.53  -6.72
Cu_11.55  -5.80
Cu_11.56  -7.12
Cu_11.57  -3.72
Cu_11.58  -1.42
Cu_11.59  -10.24
Cu_1.16  8.15
Cu_11.60  -11.01
Cu_11.61  -11.19
Cu_11.62  -4.65
Cu_11.63  -4.82
Cu_11.64  -5.97
Cu_11.65  -5.73
Cu_11.68  -7.26
Cu_11.69  -5.05
Cu_1.17  3.95
Cu_11.70  -9.22
Cu_11.71  -8.64
Cu_1.18  4.60
Cu_1.20  -17.64
Cu_1.21  -16.29
Cu_12.14  -15.82
Cu_12.15  -2.68
Cu_12.17  -13.86
Cu_12.19  -17.53
Cu_1.22  13.60
Cu_12.20  3.31
Cu_12.21  -11.64
Cu_12.24  -12.35
Cu_12.25  -7.53
Cu_12.27  -13.738
Cu_12.28  11.50
Cu_12.29  -3.19
Cu_12.32  -10.37
Cu_12.33  -11.38
Cu_12.34  -7.79
Cu_12.35  -3.50
Cu_12.37  -18.3579
Cu_12.38  -17.55
Cu_12.39  -13.95
Cu_12.42  -13.18
Cu_12.43  -7.42
Cu_12.44  -10.29
Cu_12.45  -7.34
Cu_12.46  -12.25
Cu_12.47  -10.73
Cu_12.48  -16.00
Cu_12.49  -12.93
Cu_12.57  -4.24
Cu_12.65  -5.59
Cu_12.67  -14.53
Cu_12.70  -17.40
Cu_1.28  14.01
Cu_1.29  5.61
Cu_1.3  -1.30
Cu_1.30  -0.98
Cu_1.31  -14.43
Cu_13.13  -16.01
Cu_13.14  -14.60
Cu_13.17  -18.22
Cu_13.19  -16.87
Cu_1.32  4.06
Cu_13.20  -14.67
Cu_13.24  -4.97
Cu_13.25  -13.05
Cu_13.26  -12.29
Cu_13.27  -16.63
Cu_13.29  -28.2415
Cu_13.32  -14.83
Cu_13.33  -12.05
Cu_13.34  -9.56
Cu_13.35  -4.62
Cu_13.37  -19.8566
Cu_13.38  -15.2416
Cu_13.39  -20.5165
Cu_1.34  -6.11
Cu_13.40  -15.3331
Cu_13.42  -25.44
Cu_13.43  -5.55
Cu_13.44  -15.6098
Cu_13.47  -12.7807
Cu_13.48  -16.2099
Cu_13.49  -11.42
Cu_1.35  -1.66
Cu_13.50  -7.42
Cu_13.51  -6.75
Cu_13.52  -3.27
Cu_13.53  -13.17
Cu_13.54  -11.34
Cu_13.55  -9.03
Cu_13.56  -7.53
Cu_13.57  -4.08
Cu_13.58  -6.68
Cu_13.59  -6.98
Cu_13.60  -20.79
Cu_13.61  -8.16
Cu_13.62  -8.57
Cu_13.63  -8.53
Cu_13.64  -4.73
Cu_13.65  -4.60
Cu_13.68  -3.78
Cu_13.69  -6.80
Cu_13.70  -13.40
Cu_13.71  -37.03
Cu_1.39  -8.99169
Cu_1.4  -5.03
Cu_1.40  -12.6071
Cu_14.14  -10.87
Cu_14.15  0.19
Cu_14.17  -14.58
Cu_14.19  -17.91
Cu_1.42  4.35
Cu_14.20  -16.76
Cu_14.21  -13.25
Cu_14.25  0.29
Cu_14.26  -9.58
Cu_14.27  -24.59
Cu_14.28  -7.11
Cu_14.29  -25.3664
Cu_1.43  4.80
Cu_14.32  -3.69
Cu_14.33  -15.29
Cu_14.34  -11.417
Cu_14.35  -5.44
Cu_14.38  -18.66
Cu_14.39  -20.1203
Cu_1.44  1.31
Cu_14.40  -14.3925
Cu_14.42  -21.15
Cu_14.43  -15.96
Cu_14.46  -8.19951
Cu_14.47  -12.99
Cu_14.48  -17.4775
Cu_14.49  -16.09
Cu_1.45  -1.72
Cu_14.50  -11.81
Cu_14.52  -11.29
Cu_14.53  -11.64
Cu_14.54  -22.14
